npe,B,T,D,dtype,kind,length,sequence,ops,task_us,tu_us,dma_us,sto_trf_us,parallelcopy_us,cluster_us,span_names,error
1,1,512,1024,bfloat16,quad,4,MASM,M->A->S->M,129.47600000002421,113.23100000002887,36.49800000002142,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,512,1024,bfloat16,quad,4,MASA,M->A->S->A,83.40800000005402,63.54000000003725,41.7750000001397,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,512,1024,bfloat16,quad,4,MASS,M->A->S->S,87.24100000003818,77.42199999978766,26.270000000018626,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,512,1024,bfloat16,quad,4,MSMM,M->S->M->M,178.24499999999534,155.6129999998957,41.851000000024214,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,512,1024,bfloat16,quad,4,MSMA,M->S->M->A,127.60400000005029,111.24600000027567,37.026000000187196,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,512,1024,bfloat16,quad,4,MSMS,M->S->M->S,132.53200000000652,116.20300000021234,31.15300000004936,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,512,1024,bfloat16,quad,4,MSAM,M->S->A->M,135.96699999994598,113.42199999990407,47.4989999999525,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,512,1024,bfloat16,quad,4,MSAA,M->S->A->A,96.25300000002608,75.39699999976438,42.84199999982957,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,512,1024,bfloat16,quad,4,MSAS,M->S->A->S,89.34499999997206,68.53600000019651,37.29400000011083,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,512,1024,bfloat16,quad,4,MSSM,M->S->S->M,131.25600000005215,115.039000000339,30.956000000005588,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,512,1024,bfloat16,quad,4,MSSA,M->S->S->A,89.40800000005402,68.48999999987427,37.19300000008661,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,512,1024,bfloat16,quad,4,MSSS,M->S->S->S,88.99100000003818,79.31999999994878,19.68900000001304,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,512,1024,bfloat16,quad,4,AMMM,A->M->M->M,177.41299999994226,149.5209999998333,46.71799999999348,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,512,1024,bfloat16,quad,4,AMMA,A->M->M->A,126.80799999996088,105.17499999981374,42.30200000014156,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,512,1024,bfloat16,quad,4,AMMS,A->M->M->S,131.6239999999525,110.09299999987707,35.86100000003353,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,512,1024,bfloat16,quad,4,AMAM,A->M->A->M,124.3739999999525,102.94100000010803,41.78800000017509,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,512,1024,bfloat16,quad,4,AMAA,A->M->A->A,74.0219999999972,58.90400000009686,36.95400000002701,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,512,1024,bfloat16,quad,4,AMAS,A->M->A->S,84.26300000003539,69.1359999999404,31.524999999906868,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,512,1024,bfloat16,quad,4,AMSM,A->M->S->M,130.6040000000503,108.97999999998137,35.904999999911524,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,512,1024,bfloat16,quad,4,AMSA,A->M->S->A,86.59799999999814,61.57000000006519,41.427000000025146,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,512,1024,bfloat16,quad,4,AMSS,A->M->S->S,85.94599999999627,70.96900000004098,24.9759999999078,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,512,1024,bfloat16,quad,4,AAMM,A->A->M->M,127.5570000000298,102.93500000005588,41.11099999991711,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,512,1024,bfloat16,quad,4,AAMA,A->A->M->A,77.13899999996647,58.95199999993201,36.94500000006519,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,512,1024,bfloat16,quad,4,AAMS,A->A->M->S,83.13100000005215,65.00799999991432,30.421000000089407,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,512,1024,bfloat16,quad,4,AAAM,A->A->A->M,80.22100000001956,58.90699999977369,35.768999999854714,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,512,1024,bfloat16,quad,4,AAAA,A->A->A->A,33.00399999995716,8.744999999995343,30.750999999931082,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
1,1,512,1024,bfloat16,quad,4,AAAS,A->A->A->S,35.05900000000838,13.54100000008475,25.824000000138767,0.0,0.0,0.0,DMA|Renegade::TuExec|Task,
